,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
173,BNBUSDT,CREAMUSDT,0.0,-5.76,-3.37,25.42,51
16,1000BTTUSDT,ETHUSDT,0.0,-4.58,-3.37,0.0,47
96,AKROUSDT,SUNUSDT,0.0,-5.68,-3.37,0.6,46
76,AKROUSDT,BSWUSDT,0.0,-4.99,-3.37,0.02,45
14,1000BTTUSDT,CREAMUSDT,0.01,-3.77,-3.37,0.0,43
684,XTZUSDT,BOBAUSDT,0.0,-4.24,-3.37,4.47,42
695,ZRXUSDT,1000XECUSDT,0.01,-3.89,-3.37,6.75,41
25,1000BTTUSDT,XNOUSDT,0.05,-3.37,-3.37,0.0,41
714,ZRXUSDT,FITFIUSDT,0.02,-3.63,-3.37,8.97,41
17,1000BTTUSDT,FITFIUSDT,0.0,-5.15,-3.37,0.03,40
8,1000BTTUSDT,1000XECUSDT,0.0,-4.17,-3.37,0.02,39
22,1000BTTUSDT,KLAYUSDT,0.01,-3.79,-3.37,0.0,39
95,AKROUSDT,STXUSDT,0.02,-3.6,-3.37,0.01,38
83,AKROUSDT,DENTUSDT,0.0,-4.13,-3.37,3.75,38
214,EGLDUSDT,1000BTTUSDT,0.03,-3.55,-3.37,61343.22,38
446,MINAUSDT,CEEKUSDT,0.03,-3.57,-3.37,6.45,36
710,ZRXUSDT,EGLDUSDT,0.04,-3.42,-3.37,0.01,36
455,MINAUSDT,CTCUSDT,0.01,-4.08,-3.37,1.3,36
49,1000LUNCUSDT,ILVUSDT,0.03,-3.53,-3.37,0.0,36
6,1000BONKUSDT,LOOKSUSDT,0.01,-4.09,-3.37,0.0,35
57,1000LUNCUSDT,SUSHIUSDT,0.0,-5.88,-3.37,0.13,35
161,ATOMUSDT,ALPHAUSDT,0.03,-3.56,-3.37,109.41,35
186,CELOUSDT,KNCUSDT,0.01,-4.06,-3.37,0.9,35
656,REQUSDT,BOBAUSDT,0.0,-4.19,-3.37,0.43,34
151,ARUSDT,KAVAUSDT,0.05,-3.37,-3.37,11.87,34
664,SCRTUSDT,GLMRUSDT,0.03,-3.57,-3.37,1.67,34
89,AKROUSDT,JSTUSDT,0.03,-3.55,-3.37,0.13,34
97,AKROUSDT,THETAUSDT,0.0,-4.87,-3.37,0.0,34
100,AKROUSDT,VETUSDT,0.02,-3.59,-3.37,0.15,34
2,10000NFTUSDT,IOTAUSDT,0.01,-3.89,-3.37,0.02,34
223,EOSUSDT,ADAUSDT,0.03,-3.51,-3.37,2.77,33
704,ZRXUSDT,CEEKUSDT,0.04,-3.4,-3.37,1.96,33
209,CROUSDT,1000BTTUSDT,0.02,-3.76,-3.37,109.54,33
183,CELOUSDT,BOBAUSDT,0.01,-3.78,-3.37,3.03,33
117,ALPHAUSDT,CRVUSDT,0.0,-4.33,-3.37,0.12,33
254,EOSUSDT,CREAMUSDT,0.02,-3.67,-3.37,0.08,33
102,AKROUSDT,XNOUSDT,0.04,-3.46,-3.37,0.0,33
148,ARUSDT,GALUSDT,0.02,-3.72,-3.37,4.92,32
450,MINAUSDT,CKBUSDT,0.01,-3.84,-3.37,218.63,32
268,EOSUSDT,EGLDUSDT,0.0,-4.86,-3.37,0.02,32
174,BNBUSDT,FITFIUSDT,0.0,-4.55,-3.37,11700.13,32
164,BATUSDT,BOBAUSDT,0.0,-4.18,-3.37,1.09,32
721,ZRXUSDT,KLAYUSDT,0.0,-4.21,-3.37,1.2,32
121,ALPHAUSDT,EGLDUSDT,0.03,-3.52,-3.37,0.0,31
641,QTUMUSDT,RVNUSDT,0.04,-3.45,-3.37,92.73,31
465,MINAUSDT,DYDXUSDT,0.03,-3.48,-3.37,0.27,31
657,REQUSDT,ENJUSDT,0.02,-3.62,-3.37,0.23,31
154,ARUSDT,UNFIUSDT,0.0,-5.41,-3.37,2.01,31
147,ARUSDT,FLOWUSDT,0.0,-4.23,-3.37,10.46,31
23,1000BTTUSDT,TLMUSDT,0.03,-3.56,-3.37,0.03,31
206,CKBUSDT,LTCUSDT,0.01,-3.91,-3.37,0.0,30
75,AKROUSDT,BOBAUSDT,0.0,-4.24,-3.37,0.01,30
123,ALPHAUSDT,HNTUSDT,0.0,-4.43,-3.37,0.05,30
459,MINAUSDT,CVXUSDT,0.01,-3.78,-3.37,0.13,30
72,AKROUSDT,BELUSDT,0.0,-4.59,-3.37,0.01,30
274,EOSUSDT,FITFIUSDT,0.01,-4.06,-3.37,39.04,30
468,MINAUSDT,ENSUSDT,0.02,-3.61,-3.37,0.05,30
172,BNBUSDT,CELUSDT,0.0,-4.21,-3.37,540.75,30
332,FLMUSDT,REEFUSDT,0.03,-3.48,-3.37,30.61,30
203,CKBUSDT,EGLDUSDT,0.04,-3.45,-3.37,0.0,30
718,ZRXUSDT,HOTUSDT,0.03,-3.49,-3.37,114.75,30
195,CKBUSDT,BELUSDT,0.04,-3.46,-3.37,0.01,30
192,CKBUSDT,ALPHAUSDT,0.04,-3.39,-3.37,0.03,30
166,BATUSDT,IOSTUSDT,0.01,-3.79,-3.37,26.23,29
638,QTUMUSDT,REQUSDT,0.0,-4.13,-3.37,25.64,29
335,FLMUSDT,TLMUSDT,0.03,-3.52,-3.37,4.61,29
197,CKBUSDT,COMPUSDT,0.02,-3.74,-3.37,0.0,29
686,YFIUSDT,1000BTTUSDT,0.03,-3.53,-3.37,10341952.75,29
709,ZRXUSDT,DOTUSDT,0.02,-3.68,-3.37,0.04,29
330,FLMUSDT,ICXUSDT,0.01,-4.07,-3.37,0.47,29
145,ARUSDT,DGBUSDT,0.0,-5.59,-3.37,1086.29,29
730,ZRXUSDT,YFIUSDT,0.01,-3.83,-3.37,0.0,29
187,CELOUSDT,REEFUSDT,0.0,-4.25,-3.37,227.74,29
251,EOSUSDT,CELUSDT,0.04,-3.38,-3.37,1.8,29
271,EOSUSDT,ETHUSDT,0.01,-3.81,-3.37,0.0,29
702,ZRXUSDT,BICOUSDT,0.04,-3.46,-3.37,0.63,29
667,SNXUSDT,TOMOUSDT,0.03,-3.53,-3.37,6.32,28
563,QNTUSDT,ETHUSDT,0.0,-4.8,-3.37,0.08,28
624,QTUMUSDT,BOBAUSDT,0.01,-3.92,-3.37,10.95,28
190,CELOUSDT,XNOUSDT,0.04,-3.46,-3.37,0.91,28
418,MINAUSDT,1INCHUSDT,0.04,-3.46,-3.37,1.46,28
421,MINAUSDT,ALGOUSDT,0.03,-3.51,-3.37,3.08,28
453,MINAUSDT,CREAMUSDT,0.03,-3.55,-3.37,0.06,28
430,MINAUSDT,ATOMUSDT,0.04,-3.38,-3.37,0.06,28
462,MINAUSDT,DGBUSDT,0.02,-3.63,-3.37,75.87,28
141,ARUSDT,BICOUSDT,0.04,-3.4,-3.37,29.89,28
255,EOSUSDT,CROUSDT,0.0,-4.18,-3.37,13.41,27
701,ZRXUSDT,BANDUSDT,0.02,-3.59,-3.37,0.12,27
669,STORJUSDT,BOBAUSDT,0.0,-4.59,-3.37,1.62,27
165,BATUSDT,CVCUSDT,0.01,-3.86,-3.37,2.4,27
10,1000BTTUSDT,BALUSDT,0.0,-4.56,-3.37,0.0,27
663,SCRTUSDT,CVCUSDT,0.02,-3.6,-3.37,6.79,27
116,ALPHAUSDT,BELUSDT,0.01,-4.04,-3.37,0.22,27
196,CKBUSDT,BICOUSDT,0.03,-3.49,-3.37,0.01,27
73,AKROUSDT,BITUSDT,0.02,-3.73,-3.37,0.01,27
590,QNTUSDT,JSTUSDT,0.0,-4.59,-3.37,4891.32,27
122,ALPHAUSDT,FITFIUSDT,0.0,-4.18,-3.37,4.79,26
178,BOBAUSDT,10000NFTUSDT,0.0,-4.27,-3.37,52.72,26
649,QTUMUSDT,USDCUSDT,0.01,-4.04,-3.37,2.84,26
579,QNTUSDT,HNTUSDT,0.0,-4.64,-3.37,48.28,26
194,CKBUSDT,AUDIOUSDT,0.04,-3.39,-3.37,0.01,26
188,CELOUSDT,STXUSDT,0.04,-3.42,-3.37,2.62,26
207,CKBUSDT,RUNEUSDT,0.01,-3.98,-3.37,0.0,26
85,AKROUSDT,FITFIUSDT,0.03,-3.54,-3.37,0.13,26
323,EOSUSDT,STXUSDT,0.04,-3.45,-3.37,3.63,26
492,QNTUSDT,1000BTTUSDT,0.0,-4.83,-3.37,187915.78,26
452,MINAUSDT,COTIUSDT,0.04,-3.41,-3.37,8.27,26
692,ZECUSDT,PEOPLEUSDT,0.03,-3.58,-3.37,1515.44,26
682,XEMUSDT,10000NFTUSDT,0.03,-3.49,-3.37,8.25,26
358,LPTUSDT,WOOUSDT,0.01,-3.96,-3.37,40.55,26
437,MINAUSDT,BCHUSDT,0.03,-3.52,-3.37,0.01,26
729,ZRXUSDT,XNOUSDT,0.0,-4.14,-3.37,0.29,26
661,SCRTUSDT,ALGOUSDT,0.02,-3.76,-3.37,2.99,25
126,ALPHAUSDT,LTCUSDT,0.02,-3.69,-3.37,0.0,25
705,ZRXUSDT,CREAMUSDT,0.01,-3.86,-3.37,0.02,25
54,1000LUNCUSDT,OPUSDT,0.0,-4.17,-3.37,0.06,25
424,MINAUSDT,ANTUSDT,0.0,-4.11,-3.37,0.28,25
55,1000LUNCUSDT,SFPUSDT,0.0,-4.5,-3.37,0.33,25
34,1000LUNCUSDT,CEEKUSDT,0.0,-4.19,-3.37,1.43,25
406,MANAUSDT,ENSUSDT,0.03,-3.52,-3.37,0.05,25
249,EOSUSDT,CEEKUSDT,0.0,-4.59,-3.37,8.53,25
1,10000NFTUSDT,ICXUSDT,0.03,-3.56,-3.37,0.02,25
685,XTZUSDT,KNCUSDT,0.03,-3.52,-3.37,1.34,25
659,SANDUSDT,ALICEUSDT,0.02,-3.64,-3.37,0.41,25
678,UNFIUSDT,APEUSDT,0.05,-3.37,-3.37,1.02,25
108,ALGOUSDT,BLZUSDT,0.03,-3.52,-3.37,2.76,25
215,EGLDUSDT,1000XECUSDT,0.03,-3.57,-3.37,1227.1,25
86,AKROUSDT,GTCUSDT,0.02,-3.68,-3.37,0.0,25
113,ALGOUSDT,GLMRUSDT,0.01,-4.07,-3.37,0.56,25
229,EOSUSDT,APEUSDT,0.0,-4.71,-3.37,0.19,25
346,IMXUSDT,OGNUSDT,0.0,-4.11,-3.37,6.99,25
293,EOSUSDT,KLAYUSDT,0.0,-5.28,-3.37,5.24,25
15,1000BTTUSDT,DOGEUSDT,0.01,-3.85,-3.37,0.01,25
12,1000BTTUSDT,CELUSDT,0.04,-3.41,-3.37,0.0,25
177,BNBUSDT,YFIUSDT,0.04,-3.41,-3.37,0.04,25
345,IMXUSDT,MKRUSDT,0.02,-3.65,-3.37,0.0,25
673,SXPUSDT,REEFUSDT,0.01,-3.92,-3.37,89.73,25
625,QTUMUSDT,CHZUSDT,0.02,-3.65,-3.37,19.32,25
340,GMXUSDT,CREAMUSDT,0.01,-4.0,-3.37,5.29,24
35,1000LUNCUSDT,CELRUSDT,0.01,-3.98,-3.37,9.71,24
359,LRCUSDT,1000LUNCUSDT,0.01,-3.9,-3.37,2.11,24
149,ARUSDT,HNTUSDT,0.02,-3.72,-3.37,4.09,24
428,MINAUSDT,ARUSDT,0.02,-3.69,-3.37,0.07,24
435,MINAUSDT,BANDUSDT,0.04,-3.47,-3.37,0.38,24
201,CKBUSDT,DASHUSDT,0.04,-3.4,-3.37,0.0,24
606,QNTUSDT,MANAUSDT,0.0,-4.88,-3.37,184.53,24
466,MINAUSDT,EGLDUSDT,0.02,-3.6,-3.37,0.02,24
451,MINAUSDT,COMPUSDT,0.03,-3.51,-3.37,0.02,24
109,ALGOUSDT,BOBAUSDT,0.03,-3.49,-3.37,1.03,24
674,SXPUSDT,XNOUSDT,0.03,-3.56,-3.37,0.36,24
211,DOTUSDT,1000BTTUSDT,0.03,-3.59,-3.37,9066.01,24
456,MINAUSDT,CTKUSDT,0.03,-3.49,-3.37,0.99,24
59,1000LUNCUSDT,TWTUSDT,0.01,-3.99,-3.37,0.11,24
93,AKROUSDT,RVNUSDT,0.0,-5.26,-3.37,0.12,24
105,AKROUSDT,ZILUSDT,0.0,-4.74,-3.37,0.13,24
200,CKBUSDT,CTKUSDT,0.02,-3.66,-3.37,0.0,24
644,QTUMUSDT,STMXUSDT,0.0,-4.19,-3.37,448.94,24
706,ZRXUSDT,CROUSDT,0.02,-3.68,-3.37,3.08,24
489,PEOPLEUSDT,BANDUSDT,0.04,-3.39,-3.37,0.01,23
341,HBARUSDT,SKLUSDT,0.01,-4.06,-3.37,1.79,23
236,EOSUSDT,BALUSDT,0.0,-4.7,-3.37,0.16,23
339,GMXUSDT,CEEKUSDT,0.02,-3.68,-3.37,532.39,23
225,EOSUSDT,AKROUSDT,0.04,-3.39,-3.37,291.3,23
292,EOSUSDT,KDAUSDT,0.0,-4.57,-3.37,0.9,23
484,ONTUSDT,10000NFTUSDT,0.02,-3.61,-3.37,46.13,23
329,FLMUSDT,GTCUSDT,0.0,-4.32,-3.37,0.05,23
354,LDOUSDT,ROSEUSDT,0.04,-3.42,-3.37,39.53,23
219,EOSUSDT,1000XECUSDT,0.0,-4.87,-3.37,29.38,23
288,EOSUSDT,INJUSDT,0.0,-5.22,-3.37,0.29,23
193,CKBUSDT,ARUSDT,0.01,-3.78,-3.37,0.0,23
243,EOSUSDT,BNBUSDT,0.0,-4.37,-3.37,0.0,23
342,HOTUSDT,1000BTTUSDT,0.03,-3.49,-3.37,2.94,23
118,ALPHAUSDT,CTCUSDT,0.02,-3.59,-3.37,0.21,23
655,REQUSDT,API3USDT,0.02,-3.71,-3.37,0.06,23
52,1000LUNCUSDT,LUNA2USDT,0.03,-3.53,-3.37,0.09,23
688,ZECUSDT,FILUSDT,0.04,-3.42,-3.37,8.43,23
61,1000LUNCUSDT,WAVESUSDT,0.03,-3.51,-3.37,0.07,23
119,ALPHAUSDT,CTKUSDT,0.05,-3.38,-3.37,0.16,23
496,QNTUSDT,AAVEUSDT,0.0,-4.97,-3.37,1.6,22
202,CKBUSDT,DGBUSDT,0.02,-3.65,-3.37,0.35,22
135,ANTUSDT,GALUSDT,0.03,-3.56,-3.37,1.25,22
133,ANTUSDT,CELRUSDT,0.04,-3.44,-3.37,158.73,22
217,EOSUSDT,1000BTTUSDT,0.01,-3.99,-3.37,1469.01,22
658,SANDUSDT,ALGOUSDT,0.01,-4.0,-3.37,2.88,22
56,1000LUNCUSDT,SOLUSDT,0.01,-4.11,-3.37,0.01,22
454,MINAUSDT,CRVUSDT,0.02,-3.7,-3.37,0.77,22
414,MINAUSDT,10000NFTUSDT,0.04,-3.47,-3.37,167.55,22
558,QNTUSDT,EGLDUSDT,0.0,-4.68,-3.37,3.06,22
694,ZRXUSDT,1000BTTUSDT,0.04,-3.47,-3.37,337.4,22
84,AKROUSDT,ENJUSDT,0.03,-3.5,-3.37,0.01,22
541,QNTUSDT,CREAMUSDT,0.0,-4.83,-3.37,10.85,22
90,AKROUSDT,KNCUSDT,0.04,-3.42,-3.37,0.0,22
94,AKROUSDT,SLPUSDT,0.01,-4.04,-3.37,1.17,22
530,QNTUSDT,BTCUSDT,0.0,-4.89,-3.37,0.01,22
101,AKROUSDT,XEMUSDT,0.01,-3.99,-3.37,0.09,22
104,AKROUSDT,ZENUSDT,0.03,-3.51,-3.37,0.0,22
199,CKBUSDT,CTCUSDT,0.01,-3.87,-3.37,0.01,22
510,QNTUSDT,ARUSDT,0.0,-4.69,-3.37,11.79,22
168,BATUSDT,TRBUSDT,0.03,-3.57,-3.37,0.02,22
402,MAGICUSDT,DYDXUSDT,0.0,-8.39,-3.37,0.73,22
351,KAVAUSDT,APEUSDT,0.01,-4.03,-3.37,0.17,22
595,QNTUSDT,KSMUSDT,0.0,-4.79,-3.37,3.82,22
181,BOBAUSDT,1INCHUSDT,0.02,-3.76,-3.37,0.46,22
697,ZRXUSDT,APEUSDT,0.04,-3.44,-3.37,0.04,21
78,AKROUSDT,COMPUSDT,0.02,-3.72,-3.37,0.0,21
722,ZRXUSDT,ONEUSDT,0.0,-4.58,-3.37,9.45,21
18,1000BTTUSDT,FLOWUSDT,0.04,-3.41,-3.37,0.0,21
226,EOSUSDT,ALPHAUSDT,0.0,-4.36,-3.37,8.15,21
182,BTCUSDT,1000BTTUSDT,0.03,-3.59,-3.37,31107669.64,21
232,EOSUSDT,ATOMUSDT,0.0,-4.45,-3.37,0.07,21
720,ZRXUSDT,KDAUSDT,0.05,-3.38,-3.37,0.21,21
488,PEOPLEUSDT,APTUSDT,0.04,-3.38,-3.37,0.0,21
110,ALGOUSDT,C98USDT,0.02,-3.62,-3.37,0.99,21
350,JSTUSDT,1INCHUSDT,0.02,-3.74,-3.37,0.05,21
490,QNTUSDT,10000NFTUSDT,0.0,-4.61,-3.37,28314.29,21
671,SXPUSDT,GTCUSDT,0.02,-3.64,-3.37,0.15,21
725,ZRXUSDT,SXPUSDT,0.03,-3.58,-3.37,0.81,21
156,ARUSDT,XNOUSDT,0.01,-3.97,-3.37,13.63,21
208,CKBUSDT,UNFIUSDT,0.0,-4.24,-3.37,0.0,21
285,EOSUSDT,HOTUSDT,0.0,-4.85,-3.37,499.6,21
291,EOSUSDT,KAVAUSDT,0.02,-3.7,-3.37,1.09,21
36,1000LUNCUSDT,COTIUSDT,0.01,-3.91,-3.37,1.84,21
391,MAGICUSDT,COMPUSDT,0.0,-11.12,-3.37,0.04,21
152,ARUSDT,LTCUSDT,0.0,-4.95,-3.37,0.12,21
30,1000LUNCUSDT,AVAXUSDT,0.01,-3.77,-3.37,0.01,21
586,QNTUSDT,IOSTUSDT,0.0,-4.61,-3.37,12877.99,21
520,QNTUSDT,BCHUSDT,0.0,-4.96,-3.37,1.04,21
376,MAGICUSDT,BALUSDT,0.0,-10.44,-3.37,0.32,21
387,MAGICUSDT,CEEKUSDT,0.0,-10.42,-3.37,17.18,20
44,1000LUNCUSDT,ETHWUSDT,0.0,-4.57,-3.37,0.04,20
5,1000BONKUSDT,BAKEUSDT,0.04,-3.44,-3.37,0.0,20
7,1000BONKUSDT,SHIB1000USDT,0.0,-4.49,-3.37,0.07,20
302,EOSUSDT,MINAUSDT,0.03,-3.56,-3.37,1.32,20
398,MAGICUSDT,DARUSDT,0.0,-9.22,-3.37,8.69,20
39,1000LUNCUSDT,DOGEUSDT,0.01,-4.06,-3.37,2.01,20
433,MINAUSDT,AXSUSDT,0.04,-3.4,-3.37,0.07,20
353,LDOUSDT,ANKRUSDT,0.03,-3.54,-3.37,79.93,20
438,MINAUSDT,BELUSDT,0.03,-3.5,-3.37,1.35,20
352,KNCUSDT,10000NFTUSDT,0.02,-3.74,-3.37,176.62,20
334,FLMUSDT,RNDRUSDT,0.02,-3.7,-3.37,0.06,20
444,MINAUSDT,BSWUSDT,0.03,-3.56,-3.37,3.78,20
80,AKROUSDT,CTCUSDT,0.02,-3.66,-3.37,0.01,20
439,MINAUSDT,BITUSDT,0.04,-3.46,-3.37,1.42,20
443,MINAUSDT,BOBAUSDT,0.03,-3.48,-3.37,3.17,20
411,MATICUSDT,MKRUSDT,0.04,-3.44,-3.37,0.0,20
731,ZRXUSDT,ZILUSDT,0.04,-3.47,-3.37,8.52,20
535,QNTUSDT,CELUSDT,0.0,-4.83,-3.37,230.86,20
189,CELOUSDT,TRBUSDT,0.01,-3.86,-3.37,0.04,20
591,QNTUSDT,KAVAUSDT,0.0,-5.01,-3.37,140.09,20
575,QNTUSDT,GMXUSDT,0.0,-4.71,-3.37,2.05,20
239,EOSUSDT,BELUSDT,0.04,-3.46,-3.37,1.78,20
572,QNTUSDT,GALUSDT,0.0,-4.8,-3.37,58.05,20
651,QTUMUSDT,XEMUSDT,0.04,-3.39,-3.37,70.05,20
220,EOSUSDT,1INCHUSDT,0.0,-4.44,-3.37,1.93,20
540,QNTUSDT,COTIUSDT,0.0,-4.78,-3.37,1398.02,20
609,QNTUSDT,MINAUSDT,0.0,-4.65,-3.37,168.81,20
204,CKBUSDT,FLOWUSDT,0.03,-3.51,-3.37,0.0,20
167,BATUSDT,STMXUSDT,0.04,-3.45,-3.37,44.78,20
566,QNTUSDT,FITFIUSDT,0.0,-4.75,-3.37,4993.77,20
137,ANTUSDT,LRCUSDT,0.0,-4.79,-3.37,7.71,20
155,ARUSDT,WAVESUSDT,0.04,-3.42,-3.37,4.37,20
153,ARUSDT,RUNEUSDT,0.02,-3.66,-3.37,6.4,19
374,MAGICUSDT,AXSUSDT,0.0,-10.44,-3.37,0.2,19
700,ZRXUSDT,BALUSDT,0.03,-3.53,-3.37,0.04,19
170,BICOUSDT,1000BTTUSDT,0.03,-3.59,-3.37,532.38,19
127,ALPHAUSDT,RUNEUSDT,0.05,-3.37,-3.37,0.07,19
390,MAGICUSDT,CKBUSDT,0.0,-8.66,-3.37,581.33,19
114,ALGOUSDT,RSS3USDT,0.04,-3.46,-3.37,1.25,19
627,QTUMUSDT,ENJUSDT,0.01,-3.86,-3.37,5.97,19
247,EOSUSDT,BTCUSDT,0.0,-4.35,-3.37,0.0,19
41,1000LUNCUSDT,DYDXUSDT,0.03,-3.48,-3.37,0.06,19
403,MAGICUSDT,ENJUSDT,0.0,-11.77,-3.37,4.6,19
405,MANAUSDT,ARUSDT,0.02,-3.64,-3.37,0.06,19
38,1000LUNCUSDT,DARUSDT,0.04,-3.38,-3.37,0.73,19
637,QTUMUSDT,OGNUSDT,0.02,-3.75,-3.37,20.92,19
29,1000LUNCUSDT,APTUSDT,0.04,-3.39,-3.37,0.01,19
716,ZRXUSDT,GMXUSDT,0.01,-4.02,-3.37,0.0,19
471,NEARUSDT,GLMRUSDT,0.03,-3.52,-3.37,5.1,19
87,AKROUSDT,INJUSDT,0.0,-4.94,-3.37,0.0,19
349,INJUSDT,1000BTTUSDT,0.04,-3.42,-3.37,5013.61,19
726,ZRXUSDT,TLMUSDT,0.04,-3.47,-3.37,10.93,19
20,1000BTTUSDT,ICPUSDT,0.0,-4.61,-3.37,0.0,19
622,QTUMUSDT,BITUSDT,0.01,-3.81,-3.37,4.89,19
666,SNXUSDT,JSTUSDT,0.01,-4.07,-3.37,93.39,19
180,BOBAUSDT,1000XECUSDT,0.03,-3.5,-3.37,6.99,19
723,ZRXUSDT,REEFUSDT,0.04,-3.47,-3.37,72.58,19
469,NEARUSDT,C98USDT,0.01,-3.81,-3.37,9.11,19
82,AKROUSDT,DASHUSDT,0.02,-3.68,-3.37,0.0,19
547,QNTUSDT,CVCUSDT,0.0,-4.74,-3.37,1177.18,19
556,QNTUSDT,DUSKUSDT,0.0,-4.6,-3.37,822.02,19
680,USDCUSDT,AKROUSDT,0.02,-3.75,-3.37,267.9,19
307,EOSUSDT,PAXGUSDT,0.02,-3.71,-3.37,0.0,18
176,BNBUSDT,OPUSDT,0.0,-4.2,-3.37,113.3,18
602,QNTUSDT,LRCUSDT,0.0,-4.8,-3.37,358.56,18
26,1000LUNCUSDT,AAVEUSDT,0.01,-4.05,-3.37,0.0,18
331,FLMUSDT,OPUSDT,0.03,-3.5,-3.37,0.04,18
632,QTUMUSDT,IOTXUSDT,0.03,-3.59,-3.37,90.86,18
618,QTUMUSDT,ALGOUSDT,0.03,-3.58,-3.37,10.61,18
631,QTUMUSDT,IOSTUSDT,0.01,-4.08,-3.37,263.03,18
594,QNTUSDT,KNCUSDT,0.0,-4.6,-3.37,160.2,18
719,ZRXUSDT,ILVUSDT,0.02,-3.61,-3.37,0.0,18
593,QNTUSDT,KLAYUSDT,0.0,-4.78,-3.37,669.74,18
626,QTUMUSDT,CVCUSDT,0.0,-4.28,-3.37,24.07,18
198,CKBUSDT,CRVUSDT,0.04,-3.46,-3.37,0.0,18
355,LINKUSDT,NEARUSDT,0.0,-4.44,-3.37,2.91,18
517,QNTUSDT,BALUSDT,0.0,-4.76,-3.37,20.04,18
681,WOOUSDT,JASMYUSDT,0.04,-3.42,-3.37,33.73,18
712,ZRXUSDT,ETHUSDT,0.03,-3.56,-3.37,0.0,18
512,QNTUSDT,ATOMUSDT,0.0,-4.8,-3.37,9.53,18
528,QNTUSDT,BSVUSDT,0.0,-4.77,-3.37,3.24,18
506,QNTUSDT,APEUSDT,0.0,-4.91,-3.37,24.23,18
498,QNTUSDT,ADAUSDT,0.0,-4.93,-3.37,354.99,18
532,QNTUSDT,CEEKUSDT,0.0,-4.84,-3.37,1091.05,18
670,STORJUSDT,DODOUSDT,0.03,-3.56,-3.37,2.78,18
256,EOSUSDT,CRVUSDT,0.0,-4.34,-3.37,1.01,18
169,BATUSDT,TRXUSDT,0.04,-3.39,-3.37,4.39,18
494,QNTUSDT,1000XECUSDT,0.0,-4.83,-3.37,3759.26,18
487,PEOPLEUSDT,1000LUNCUSDT,0.03,-3.58,-3.37,0.16,18
542,QNTUSDT,CROUSDT,0.0,-4.76,-3.37,1715.26,18
464,MINAUSDT,DOTUSDT,0.03,-3.54,-3.37,0.12,18
132,ANTUSDT,1000LUNCUSDT,0.0,-4.51,-3.37,16.32,18
582,QNTUSDT,ICXUSDT,0.0,-4.61,-3.37,613.84,18
115,ALGOUSDT,USDCUSDT,0.03,-3.48,-3.37,0.27,18
571,QNTUSDT,GALAUSDT,0.0,-4.86,-3.37,2629.92,18
125,ALPHAUSDT,INJUSDT,0.01,-3.77,-3.37,0.04,18
711,ZRXUSDT,EOSUSDT,0.03,-3.59,-3.37,0.23,18
134,ANTUSDT,ETHWUSDT,0.03,-3.52,-3.37,0.69,18
42,1000LUNCUSDT,ENSUSDT,0.01,-3.82,-3.37,0.01,18
441,MINAUSDT,BNBUSDT,0.04,-3.39,-3.37,0.0,18
365,MAGICUSDT,AAVEUSDT,0.0,-9.71,-3.37,0.03,17
717,ZRXUSDT,HNTUSDT,0.03,-3.51,-3.37,0.09,17
647,QTUMUSDT,THETAUSDT,0.03,-3.5,-3.37,2.55,17
529,QNTUSDT,BSWUSDT,0.0,-4.61,-3.37,639.32,17
396,MAGICUSDT,CTSIUSDT,0.0,-11.84,-3.37,13.4,17
495,QNTUSDT,1INCHUSDT,0.0,-4.6,-3.37,247.02,17
696,ZRXUSDT,ALPHAUSDT,0.04,-3.42,-3.37,1.87,17
389,MAGICUSDT,CHZUSDT,0.0,-11.89,-3.37,14.87,17
538,QNTUSDT,CKBUSDT,0.0,-4.77,-3.37,36941.65,17
708,ZRXUSDT,DOGEUSDT,0.03,-3.52,-3.37,2.74,17
672,SXPUSDT,INJUSDT,0.02,-3.73,-3.37,0.08,17
473,NEOUSDT,1000BTTUSDT,0.02,-3.66,-3.37,12107.76,17
557,QNTUSDT,DYDXUSDT,0.0,-4.83,-3.37,46.0,17
645,QTUMUSDT,STORJUSDT,0.01,-3.98,-3.37,6.74,17
366,MAGICUSDT,AKROUSDT,0.0,-12.04,-3.37,585.72,17
283,EOSUSDT,GTCUSDT,0.01,-4.03,-3.37,0.54,17
286,EOSUSDT,ICPUSDT,0.0,-4.92,-3.37,0.19,17
120,ALPHAUSDT,DGBUSDT,0.02,-3.66,-3.37,12.3,17
47,1000LUNCUSDT,GALAUSDT,0.01,-3.83,-3.37,3.46,17
112,ALGOUSDT,ENJUSDT,0.01,-3.96,-3.37,0.56,17
185,CELOUSDT,HNTUSDT,0.02,-3.63,-3.37,0.27,17
144,ARUSDT,CTCUSDT,0.03,-3.49,-3.37,18.61,17
51,1000LUNCUSDT,KSMUSDT,0.01,-3.82,-3.37,0.01,17
157,ASTRUSDT,BNXUSDT,0.0,-5.1,-3.37,0.0,17
103,AKROUSDT,YGGUSDT,0.0,-4.59,-3.37,0.01,17
210,DGBUSDT,1000BTTUSDT,0.04,-3.47,-3.37,14.65,17
327,FLMUSDT,10000NFTUSDT,0.03,-3.53,-3.37,21.46,17
248,EOSUSDT,C98USDT,0.03,-3.54,-3.37,4.04,17
308,EOSUSDT,PEOPLEUSDT,0.0,-5.05,-3.37,36.28,17
